annee;categorie_principale;sous_categorie;nb_commandes_total;nb_clients_total;ca_total_ht;quantite_totale;panier_moyen_ht;age_moyen;anciennete_moyenne_jours;nb_nouveaux_clients;nb_anciens_clients;pourcentage_nouveaux_clients;ca_nouveaux_clients;ca_anciens_clients;panier_moyen_nouveaux;panier_moyen_anciens;taux_reachat_pourcent
2026;"LUMIERE CONTINUE";"PROJECTEUR A LED";44;42;11978.73;56;272.24;29.4;395;21;23;50.0;6634.57;5344.16;315.93;232.35;64.3
2026;OPTIQUE;ACCESSOIRES;131;127;11482.02;156;87.65;43.7;292;65;65;51.2;5706.75;5775.27;87.80;87.50;54.3
2026;"FLASH STROBOSCOPIQUE";"FLASH MONOLAMPE";26;26;11378.01;30;437.62;38.2;400;14;12;53.8;7217.26;4160.75;515.52;346.73;61.5
2026;"MATERIEL D'ECLAIRAGE";"FLASH STROBOSCOPIQUE";26;26;11378.01;30;437.62;38.2;400;14;12;53.8;7217.26;4160.75;515.52;346.73;61.5
2026;Accueil;FORMATION;149;147;10805.02;150;72.52;46.8;238;91;57;61.9;6552.45;4252.57;72.00;73.32;43.5
2026;BATTERIE/ALIMENTATION;"BATTERIE D'APPAREIL PHOTO";142;140;10551.01;181;74.30;42.8;396;67;73;47.9;4478.27;6072.74;66.84;80.97;56.4
2026;FORMATION;"FORMATION MATÉRIEL";145;143;10545.87;146;72.73;47.5;243;87;57;60.8;6293.30;4252.57;72.34;73.32;44.1
2026;"ACCESSOIRE PHOTO";"ACCESSOIRE PHOTO";134;132;9523.54;152;71.07;41.4;286;62;70;47.0;5803.21;3720.33;93.60;51.67;57.6
2026;"MATERIEL VIDEO";SUPPORT/RIGS;84;84;9266.50;108;110.32;33.5;425;43;41;51.2;5064.82;4201.68;117.79;102.48;53.6
2026;TREPIED/ROTULE;TREPIED;45;45;8927.78;45;198.40;40.7;202;18;27;40.0;3246.09;5681.69;180.34;210.43;60.0
