ean13;id_product;id_product_attribute;categorie;marque;nom;stock;prix_achat_ht;prix_vente_ht;qte_30j;rotation_30j;rotation_60j;rotation_90j
4151610382523;7878;3565;"ACCESSOIRE DE TERRAIN";LensCoat;"LENSCOAT PROTECTION NEOPRENE CANON RF 15-35MM F/2.8 Couleur Lenscoat: Snow";0;60.000000;102.42;0;;;
6973251730054;7885;3566;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF 11MM F/2.8 Type de monture: Canon RF";0;197.000000;249.17;0;;;
6973251730078;7885;3569;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF 11MM F/2.8 Type de monture: Monture L";0;197.000000;249.17;0;;;
6973251730030;7885;3570;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF 11MM F/2.8 Type de monture: Leica M";0;247.000000;390.83;0;;;
6973251730061;7885;3571;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF 11MM F/2.8 Type de monture: Nikon Z";0;197.000000;249.17;0;;;
6973251730047;7885;3572;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF 11MM F/2.8 Type de monture: Sony E";0;197.000000;249.17;0;;;
6973251731600;7886;3573;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF 17MM F/1.4 Type de monture: Canon RF";0;95.000000;120.83;0;;;
6973251730191;7886;3574;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF 17MM F/1.4 Type de monture: Canon EF-M";0;95.000000;116.67;0;;;
6973251730337;7886;3575;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF 17MM F/1.4 Type de monture: Nikon Z";0;95.000000;116.67;0;;;
6973251730184;7886;3576;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF 17MM F/1.4 Type de monture: Fujifilm X";1;95.000000;116.67;0;0.00;0.00;0.00
6973251730177;7886;3577;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF 17MM F/1.4 Type de monture: Sony E";0;95.000000;116.67;0;;;
6973251730733;7886;3578;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF 17MM F/1.4 Type de monture: Monture L";0;95.000000;116.67;0;;;
6973251730207;7886;3579;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF 17MM F/1.4 Type de monture: Micro 4/3";0;95.000000;116.67;0;;;
8809298888503;7887;3610;OBJECTIF;"LK Samyang";"SAMYANG OBJECTIF V-AF 75MM T/1.9 Type de monture: Sony E";0;335.620000;524.17;0;;;
6973251731433;7890;3637;OBJECTIF;TTArtisan;"TTARTISAN OBJECTIF 35MM F/2.0 APO Type de monture: Leica M";0;380.150000;474.17;0;;;
619659200541;7897;3666;"CARTE MEMOIRE/ACCESSOIRE";Sandisk;"SANDISK CARTE SD MICRO ULTRA UHS-I Capacité stockage: 64GB";0;14.550000;20.75;0;;;
619659200558;7897;3667;"CARTE MEMOIRE/ACCESSOIRE";Sandisk;"SANDISK CARTE SD MICRO ULTRA UHS-I Capacité stockage: 128GB";0;19.270000;24.92;0;;;
